F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2645__auto_1412d73b810b1ebac11cc92be04bb04f/dog_wet-food_dish-stews.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2646__auto_1412d73b810b1ebac11cc92be04bb04f/dog_wet-food_peak-wet.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2651__auto_1412d73b810b1ebac11cc92be04bb04f/dog_wet-food_wet.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2641__auto_1412d73b810b1ebac11cc92be04bb04f/dog_treats_base.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2650__auto_1412d73b810b1ebac11cc92be04bb04f/dog_treats_soupbones.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2642__auto_1412d73b810b1ebac11cc92be04bb04f/dog_treats_peak-treats.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2643__auto_1412d73b810b1ebac11cc92be04bb04f/dog_treats_smoochies.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/all_cat.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__8067__auto_1412d73b810b1ebac11cc92be04bb04f/cat-dry-nutrish.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__8065__auto_1412d73b810b1ebac11cc92be04bb04f/cat-dry-peak.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__8068__auto_1412d73b810b1ebac11cc92be04bb04f/cat-dry-zero-grain.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2653__auto_1412d73b810b1ebac11cc92be04bb04f/cat_wet-food_wet.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2621__auto_1412d73b810b1ebac11cc92be04bb04f/cat_wet-food_peak-cat-wet.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2636__auto_1412d73b810b1ebac11cc92be04bb04f/cat_wet-food_purrfect-broths.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/tmp/image-thumbnails/nutrish/header/categories/image-thumb__2648__auto_1412d73b810b1ebac11cc92be04bb04f/cat_wet-food_purrfect-entrees.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag found: Rachael Ray Nutrish for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/header/rachael_ray_nutrish_logo_sm.png,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag found: Find a food as amazing as your dog thinks you are. for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/homepage/DOG.png,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag found: Find a food as amazing as your cat thinks you are. for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/homepage/CATS.png,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/homepage/InnerHealth.jpg,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/homepage/InnerHealth-logo.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/homepage/InnerHealth-icons.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/homepage/Broths.jpg,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/homepage/Broths-logo.png,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src:,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag found: Saving data... for img src: https://s3.us-east-2.amazonaws.com/jms-s3-cx-rel-p-pmc5/assets/nutrish/static/spinner2.gif,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s.amazon-adsystem.com/iui3?d=3p-hbg&ex-src=rachaelray.com&ex-hargs=v%3D1.0%3Bc%3DRRAY%3Bp%3DH,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://s.amazon-adsystem.com/iui3?d=forester-did&ex-fargs=%3Fid%3D4add3fd3-3afe-02c4-31d3-1776050378d8%26type%3D55%26m%3D1&ex-fch=416613&ex-src=nutrish.rachaelray.com&ex-hargs=v%3D1.0%3Bc%3D6164482415712%3Bp%3D4add3fd3-3afe-02c4-31d3-1776050378d8,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://bat.bing.com/action/0?ti=5707990&Ver=2&mid=7a0bf1f3-b419-c8ca-f3da-da500a002b95&pi=1200101525&lg=en-US&sw=1280&sh=720&sc=24&tl=Natural%20Pet%20Food%20%7C%20Rachael%20Ray%20Nutrish&p=https%3A%2F%2Fnutrish.com%2F&r=&lt=1534&evt=pageLoad&msclkid=N&rn=89351,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
F0_S1,Image alt tag missing for img src: https://insight.adsrvr.org/track/evnt/?adv=5poau4i&ct=0:e5ev00j&fmt=3,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageAltAttributes-Test.xml
File And Step Number,Test Performed,Execution Status,Variable Output,Test File Name
F1_S0,Image src test https://semantic-ui.com/images/logo.png gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/logo.png gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://cdn4.buysellads.net/uu/1/46074/1559076859-20190116_slack_icon_80x80_transparent.png gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Error when attempting to validate image src https://ad.doubleclick.net/ddm/trackimp/N32602.3091281BUYSELLADS/B21259774.226545665;dc_trk_aid=424684281;dc_trk_cid=104544889;ord=1584737879;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=? Error: Request URI cannot end with ?,Failure,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://ad.doubleclick.net/ddm/trackimp/N32602.3091281BUYSELLADS/B21259774.226545665;dc_trk_aid=424684281;dc_trk_cid=104544889;ord=1584737879;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=? gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/jenny.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/elliot.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/stevie.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/christian.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/matt.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/justen.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/jenny.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/jenny.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/elliot.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/stevie.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/christian.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/matt.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/justen.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/jenny.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/elliot.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/stevie.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/christian.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/matt.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/avatar/small/justen.jpg gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/wireframe/paragraph.png gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
F1_S0,Image src test https://semantic-ui.com/images/logo.png gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithNoSeparateNavigationStep-Test.xml
File And Step Number,Test Performed,Execution Status,Variable Output,Test File Name
F2_S0,Navigation and URL Check.  Expected: (https://semantic-ui.com/modules/dropdown.html) Actual: (https://semantic-ui.com/modules/dropdown.html),Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithSeparateNavigationStep-Test.xml
F2_S1,Image src test https://semantic-ui.com/images/logo.png gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithSeparateNavigationStep-Test.xml
F2_S1,Image src test https://semantic-ui.com/images/logo.png gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithSeparateNavigationStep-Test.xml
F2_S1,Image src test https://cdn4.buysellads.net/uu/1/61121/1584720786-blockset-ad_creative-260x200.png gave a response code of 200,Successful,,C:\Gary\Java Utilities\Ex_Files_Selenium_EssT\Ex_Files_Selenium_EssT\Exercise Files\ConfigurableAutomatedTester\Tests\CheckAllPageImageSrcWithSeparateNavigationStep-Test.xml
